x0000,y0000,x0001,y0001
2300000000,172336.31,2300000000,172496.81,
2305000000,172609.24,2305000000,172694.63,
2310000000,172318.55,2310000000,172435.94,
2315000000,172282.67,2315000000,172345.73,
2320000000,172205.38,2320000000,172355.07,
2325000000,172176.94,2325000000,172221.84,
2330000000,172122.99,2330000000,172219.98,
2335000000,172053.84,2335000000,172097.56,
2340000000,171869.17,2340000000,171913.28,
2345000000,171995.46,2345000000,172098.69,
2350000000,172070.9,2350000000,172241.46,
2355000000,171916.24,2355000000,171998.67,
2360000000,172102.96,2360000000,172132.78,
2365000000,171890.9,2365000000,172066.86,
2370000000,172007.62,2370000000,172139.98,
2375000000,172121.7,2375000000,172203.18,
2380000000,172091.19,2380000000,172092.07,
2385000000,171977,2385000000,172082.77,
2390000000,172059.41,2390000000,172099.69,
2395000000,172289.43,2395000000,172386.42,
2400000000,172365.57,2400000000,172400.67,
2405000000,172230.54,2405000000,172297.64,
2410000000,171984.88,2410000000,172102.63,
2415000000,172070.28,2415000000,172191.99,
2420000000,172019.98,2420000000,172058.15,
2425000000,172024.83,2425000000,172093.8,
2430000000,171852.27,2430000000,171957.47,
2435000000,172023.1,2435000000,172174.05,
2440000000,172077.6,2440000000,172208.31,
2445000000,171926.29,2445000000,172111.2,
2450000000,172231.83,2450000000,172336.32,
2455000000,172155.63,2455000000,172254.46,
2460000000,172023.85,2460000000,172127.73,
2465000000,172301.96,2465000000,172371.99,
2470000000,172217.85,2470000000,172332.93,
2475000000,172071.49,2475000000,172233.38,
2480000000,172025.88,2480000000,172164.97,
2485000000,171927.52,2485000000,172028.08,
2490000000,172086.14,2490000000,172184.77,
2495000000,172422.53,2495000000,172478.03,
2500000000,172207.08,2500000000,172363.46,
2505000000,172208.6,2505000000,172231.08,
2510000000,171980.54,2510000000,172039,
2515000000,172232.68,2515000000,172269.09,
2520000000,172018.77,2520000000,172051.68,
2525000000,171780.73,2525000000,171970.24,
2530000000,171983.01,2530000000,172021.03,
2535000000,172084.57,2535000000,172139.21,
2540000000,172068.79,2540000000,172076.18,
2545000000,172138.95,2545000000,172179.67,
2550000000,172090.01,2550000000,172246.28,
2555000000,172259.31,2555000000,172410.81,
2560000000,172184.03,2560000000,172342.28,
2565000000,172022.71,2565000000,172119.32,
2570000000,172192.4,2570000000,172304.42,
2575000000,172276.81,2575000000,172309.53,
2580000000,172316.45,2580000000,172424.71,
2585000000,172259.36,2585000000,172273.16,
2590000000,172187.18,2590000000,172272.27,
2595000000,172106.36,2595000000,172207.34,
2600000000,172042.47,2600000000,172124.43,
2605000000,172001.65,2605000000,172189.36,
2610000000,172275.3,2610000000,172308.34,
2615000000,172042.98,2615000000,172180.63,
2620000000,171958.32,2620000000,171985.66,
2625000000,172035.01,2625000000,172122.83,
2630000000,172199.42,2630000000,172294.48,
2635000000,172247.83,2635000000,172377.88,
2640000000,172462.15,2640000000,172557.89,
2645000000,172246.16,2645000000,172343.99,
2650000000,172237.65,2650000000,172225.94,
2655000000,172034.43,2655000000,172143.41,
2660000000,172102.25,2660000000,172204.63,
2665000000,172137.22,2665000000,172213.82,
2670000000,172235.88,2670000000,172413.48,
2675000000,172505.65,2675000000,172644.99,
2680000000,172364.23,2680000000,172466.09,
2685000000,172385.01,2685000000,172416.56,
2690000000,172356.15,2690000000,172525.16,
2695000000,172281.31,2695000000,172386.19,
2700000000,172108.91,2700000000,172220.17,
2705000000,172155.99,2705000000,172145.06,
2710000000,172173.25,2710000000,172244.66,
2715000000,172342.05,2715000000,172360.89,
2720000000,172003.3,2720000000,172031.55,
2725000000,171521.33,2725000000,171738.25,
2730000000,170495.25,2730000000,170862.27,
2735000000,169620.23,2735000000,169763.04,
2740000000,170147.36,2740000000,170515.54,
2745000000,171408.79,2745000000,171709.97,
2750000000,172159.68,2750000000,172207.37,
2755000000,172198.97,2755000000,172355.83,
2760000000,172381.4,2760000000,172457.32,
2765000000,172373.33,2765000000,172450.47,
2770000000,172525.16,2770000000,172621.9,
2775000000,172648.9,2775000000,172684.12,
2780000000,172695.49,2780000000,172851.5,
2785000000,172610.16,2785000000,172748.01,
2790000000,172475.03,2790000000,172512.07,
2795000000,172590.54,2795000000,172662.68,
2800000000,172392.57,2800000000,172442.78,
2805000000,172442.09,2805000000,172516.89,
2810000000,172364.69,2810000000,172519.65,
2815000000,172452.9,2815000000,172482.62,
2820000000,172487.27,2820000000,172569.99,
2825000000,172388.05,2825000000,172382.02,
2830000000,172451.56,2830000000,172496.76,
2835000000,172299.14,2835000000,172455.46,
2840000000,172375.05,2840000000,172445.7,
2845000000,172305.82,2845000000,172408.11,
2850000000,172286.24,2850000000,172448.08,
2855000000,172149.56,2855000000,172232.31,
2860000000,171542.58,2860000000,171726.7,
2865000000,170585.64,2865000000,170586.56,
2870000000,170688.42,2870000000,170700.3,
2875000000,171710.85,2875000000,171757.6,
2880000000,172179.37,2880000000,172246.36,
2885000000,172067.07,2885000000,172188.87,
2890000000,171884.73,2890000000,171919.51,
2895000000,171631.13,2895000000,171643.38,
2900000000,170921.38,2900000000,170569.09,
2905000000,170370.06,2905000000,170537.43,
2910000000,171826.18,2910000000,171841.46,
2915000000,172394.87,2915000000,172504.47,
2920000000,172554.74,2920000000,172608.03,
2925000000,172398.09,2925000000,172533.39,
2930000000,172447.53,2930000000,172495.39,
2935000000,172517.46,2935000000,172621.43,
2940000000,172498.07,2940000000,172586.47,
2945000000,172499.16,2945000000,172587.81,
2950000000,172552.03,2950000000,172577.23,
2955000000,172317.02,2955000000,172433.82,
2960000000,172512.45,2960000000,172632.57,
2965000000,172626.99,2965000000,172787.14,
2970000000,172795.71,2970000000,172858.52,
2975000000,172461.93,2975000000,172511.84,
2980000000,172305.44,2980000000,172417.09,
2985000000,172196.18,2985000000,172220.02,
2990000000,172385.3,2990000000,172445.5,
2995000000,172422.31,2995000000,172479.81,
3000000000,172247.25,3000000000,172377.23,
3005000000,172113.98,3005000000,172150.96,
3010000000,171018.51,3010000000,170984.85,
3015000000,169998.44,3015000000,170077.71,
3020000000,171177.62,3020000000,170897.41,
3025000000,172218.48,3025000000,172361.61,
3030000000,172687.31,3030000000,172670.5,
3035000000,172811.81,3035000000,172943.37,
3040000000,172762.93,3040000000,172858.73,
3045000000,172829.08,3045000000,172871.83,
3050000000,172884.74,3050000000,172952.88,
3055000000,172794.72,3055000000,172909.33,
3060000000,172811.74,3060000000,172902.08,
3065000000,172742.5,3065000000,172781.88,
3070000000,172772.07,3070000000,172731.86,
3075000000,172723.01,3075000000,172824.01,
3080000000,172781.09,3080000000,172840.65,
3085000000,172718.18,3085000000,172779.27,
3090000000,172865.02,3090000000,172932.52,
3095000000,172666.1,3095000000,172819.87,
3100000000,172786.61,3100000000,172891.77,
3105000000,172752.23,3105000000,172891.11,
3110000000,172832.93,3110000000,173049.78,
3115000000,172924.67,3115000000,172961.29,
3120000000,172911.46,3120000000,172944.74,
3125000000,172749.14,3125000000,172856.6,
3130000000,173025.2,3130000000,173139.12,
3135000000,172777.66,3135000000,172882.87,
3140000000,172833.82,3140000000,172926.84,
3145000000,172732.84,3145000000,172868.37,
3150000000,172944.8,3150000000,172954.95,
3155000000,172892.19,3155000000,173056.46,
3160000000,172833.86,3160000000,172924.84,
3165000000,172913.28,3165000000,173098.57,
3170000000,172590.44,3170000000,172680.98,
3175000000,172554.31,3175000000,172635.89,
3180000000,172631.67,3180000000,172798.99,
3185000000,172638.77,3185000000,172735.23,
3190000000,172785.55,3190000000,172876.37,
3195000000,172751.31,3195000000,172824.06,
3200000000,172751.03,3200000000,172866.21,
3205000000,172952.5,3205000000,173027.78,
3210000000,172727.93,3210000000,172767.16,
3215000000,172731.21,3215000000,172884.28,
3220000000,172687.98,3220000000,172864.92,
3225000000,172672.48,3225000000,172780.16,
3230000000,172741.7,3230000000,172815.88,
3235000000,172720.64,3235000000,172860.31,
3240000000,172698.03,3240000000,172788.78,
3245000000,172827.68,3245000000,172906.17,
3250000000,172690.44,3250000000,172813.47,
3255000000,172681.45,3255000000,172757.43,
3260000000,172554.61,3260000000,172613.92,
3265000000,172506.04,3265000000,172603.35,
3270000000,172669.58,3270000000,172711,
3275000000,172633.17,3275000000,172702.43,
3280000000,172432.61,3280000000,172442.23,
3285000000,172564.82,3285000000,172652.97,
3290000000,172747.48,3290000000,172802.72,
3295000000,172685.91,3295000000,172769.05,
3300000000,172560.49,3300000000,172637.59,
3305000000,172715.64,3305000000,172727.42,
3310000000,172913.21,3310000000,172954.85,
3315000000,172776.51,3315000000,172961.06,
3320000000,172764.85,3320000000,172797.96,
3325000000,172818.32,3325000000,172903.41,
3330000000,172664.39,3330000000,172799.58,
3335000000,172587.81,3335000000,172721.67,
3340000000,172563.21,3340000000,172625.23,
3345000000,172536.65,3345000000,172558.93,
3350000000,172666.18,3350000000,172730.16,
3355000000,172639.99,3355000000,172728.43,
3360000000,172447.84,3360000000,172560.99,
3365000000,172586.53,3365000000,172735.57,
3370000000,172594.59,3370000000,172720.41,
3375000000,172470.36,3375000000,172496.29,
3380000000,172671.42,3380000000,172740.46,
3385000000,172558.8,3385000000,172662.9,
3390000000,172517.63,3390000000,172516.91,
3395000000,172614.58,3395000000,172653.3,
3400000000,172783.03,3400000000,172858.09,
